Item Number,product,brand,new_price,old_price,num_reviews,rating,recommand,key_benefit,Weight,Food Form,Lifestage,Food Texture,Special Diet,Packaging Type
49110,Tiki Cat Bora Bora Grill Sardine Cutlets in Lobster Consomme Grain-Free Canned Cat Food,Tiki Cat,11.88,14.28,89,4.3,92,"Wild-caught sardine cutlets as the first ingredient for animal-sourced protein to meet the nutritional needs of carnivores.,High protein to support healthy muscles plus sunflower oil rich in omegas that nourish the skin and coat.,Provides a balanced and complete diet for cats of all ages with essential amino acids, vitamins, minerals and taurine.,Made with real lobster stock so it provides essential moisture to keep your pal hydrated and support overall health.,Luxurious consomme-based formula is great for picky eaters, and contains no grains, gluten, carbohydrates, starches or flours.",,Wet Food,Adult,Shredded,"No Corn No Wheat No Soy, High-Protein, Gluten Free, Low Glycemic, Grain-Free, Pea-Free",Can
147950,"Purina Pro Plan Prime Plus 7+ Classic Cod & Shrimp Grain-Free Entree Canned Cat Food, 3-oz, case of 24",Purina Pro Plan,23.28,26.16,24,4.7,100,"Features a proprietary nutrient blend scientifically tested to maintain and improve the health of cats who are 7+.,Made with real fish as the first ingredient, packing your cat's meal with pure, high-quality protein to promote lean muscle mass and a healthy weight.,A healthful, grain-free recipe you can be proud to serve your feline best friend.,Helps support a strong, healthy immune system in your senior cat.,Contains key nutrients to support improved microflora for a balanced digestive system.",5.3,Wet Food,"Adult, Senior",Pate,"Grain-Free, Pea-Free",Can
79573,Triumph Trout Formula Canned Cat Food,Triumph,16.99,0.0,45,4.0,82,"Natural canned cat food recipe made with real trout, with no meat by-products, artificial colors or flavors added,Formula contains added vitamins and minerals to make this a complete and balanced meal for adult cats with all the nutrition they need for a happy lifestyle,Contains an optimal balance of protein, fat and carbohydrates,Recipe contains premium, wholesome ingredients that are sure to make your kitty purr with delight at mealtime,Made in the USA!",,Wet Food,Adult,Pate,,Can
180806,"Royal Canin Aging 12+ Thin Slices in Gravy Canned Cat Food, 3-oz, case of 6",Royal Canin,8.54,0.0,7,4.9,100,"Tasty thin slices in a savory gravy tail-ored for senior felines 12 years of age and older.,Contains omega-3 fatty acids to support healthy joints.,Offers a purr-ferred ratio of proteins, fats and carbohydrates.,Made with controlled phosphorus levels to support kidney health.,Pairs paw-fectly with Royal Canin Feline Health Nutrition Dry Formulas.",0.1875,Wet Food,Senior,Sliced,,Can
112290,Tiki Cat After Dark Chicken Canned Cat Food,Tiki Cat,19.37,21.52,43,4.0,81,"Chicken, chicken liver, chicken gizzard and chicken heart are the top ingredients for animal-sourced protein to meet the needs of carnivores.,High protein to support healthy muscles to keep your pal active, whether he loves the indoors or outdoors.,Provides a balanced and complete diet for cats of all ages with essential amino acids, antioxidants, vitamins, minerals and taurine.,Made with real chicken broth so it provides essential moisture to keep your pal hydrated and support overall health.,Succulent and meaty low-carb formula is great for picky eaters, and contains no grains, starches or flours.",,Wet Food,Adult,Sliced,"Grain-Free, High-Protein, Pea-Free",Can
64889,"Purina Pro Plan Veterinary Diets OM Overweight Management Formula Canned Cat Food, 5.5-oz, case of 24",Purina Pro Plan Veterinary Diets,47.79,0.0,38,4.5,89,"Formulated by Purina nutritionists, researchers and veterinarians for your overweight or obese kitty to help her lose or maintain weight.,High-protein, low-calorie and low-fat recipe helps your furbaby lose weight while maintaining lean muscle,Helps support a healthy urinary system to prevent potty problems.,Natural fiber helps keep your fur-iend feeling full.,Available in dry and canned varieties so you can choose the type she will be happy to eat.",8.25,Wet Food,Adult,Minced,"High-Protein, Weight Control, Pea-Free, Veterinary Diet",Can
98122,"Sojos NaturalCat Venison Liver Freeze-Dried Raw Cat Treats, 1.25-oz bag",Sojos,6.99,0.0,18,3.7,78,"This single-ingredient treat features 100% raw venison liver that’s been gently freeze-dried to protect the natural enzymes, vitamins and minerals in this nutritional powerhouse,With no artificial preservatives, flavors, or colors, these treats are perfect for cats who may suffer from allergies or who need a grain-free snack,Treats are made from all natural and human-quality meat fortified with amino acids and omega-3s,High-quality venison protein delivers essential amino acids and rich nutrients to help your kitty thrive,Ideal for training, snaking or even as a good topper",,Freeze-Dried,Adult,,"High-Protein, Gluten Free, Grain-Free, Raw",
64135,"Nature's Variety Pride by Instinct Grain-Free Flaked Starlet's Salmon Recipe Wet Canned Cat Food, 5.5-oz, case of 12",Nature's Variety,23.64,0.0,28,4.4,86,"Made with whole-food ingredients you can see like real salmon, carrots, spinach and cranberries.,Provides a 100% complete and balanced diet for adult cats, and is great for kitties with an indoor lifestyle.,Supports overall health and nose-to-tail well-being with added vitamins, minerals and essential taurine.,Delicious flaked texture and irresistible gravy is great for picky eaters, and is a source of moisture for healthy hydration.,Made in the USA with the finest ingredients from around the world, with zero grain, potato, corn, wheat, soy, by-product meals, artificial colors or preservatives.",,Wet Food,Adult,Flaked,"Grain-Free, Gluten Free, No Corn No Wheat No Soy",Can
64155,"Nature's Variety Pride by Instinct Grain-Free Minced Titan's Tuna Recipe Wet Canned Cat Food, 3-oz, case of 24",Nature's Variety,29.28,0.0,34,4.6,94,"Made with whole-food ingredients you can see like real tuna, carrots, spinach and cranberries.,Provides a 100% complete and balanced diet for adult cats, and is great for kitties with an indoor lifestyle.,Supports overall health and nose-to-tail well-being with added vitamins, minerals and essential taurine.,Delicious minced texture and irresistible gravy is great for picky eaters, and is a source of moisture for healthy hydration.,Made in the USA with the finest ingredients from around the world, with zero grain, potato, corn, wheat, soy, by-product meals, artificial colors or preservatives.",,Wet Food,Adult,Minced,"Grain-Free, Gluten Free, No Corn No Wheat No Soy",Can
126282,"Triumph Meals of Victory with Salmon in Savory Juices Cat Food Trays, 3.5-oz, case of 15",Triumph,12.01,0.0,7,2.7,43,"Made with real salmon with tasty juices in every easy-peel tray.,Delicious natural flavor in savory juices that most cats find irresistible.,Perfect as a wholesome meal, deliciously savory meal topper, or a healthy snack.,Enhanced with added vitamins, minerals, and taurine for a healthy, balanced diet.,Contains no corn, wheat, soy, by-products, fillers, artificial colors or flavors.",3.29,Wet Food,Adult,Bits in Broth,"No Corn No Wheat No Soy, Pea-Free",Tray
157401,"Catered Bowl Organic Chicken Recipe Canned Cat Food, 5.5-oz, case of 24",Catered Bowl,22.06,39.99,5,2.8,60,"First ingredient is USDA-Certified organic chicken sourced from US farmers.,Made with chicken raised without cages and without antibiotics.,100% complete and balanced nutrition with added vitamins, minerals and other trace nutrients.,Always made in the USA with no grain, GMOs, corn, soy or wheat or artificial colors, flavors or preservatives.,For all cats throughout all life stages, from kitten to adult.",7.5,Wet Food,Adult,Pate,"Grain-Free, No Corn No Wheat No Soy, Organic, Non-GMO",Can
130452,"Against the Grain Tuna Mango Tango with Duck Dinner Grain-Free Wet Cat Food, 2.8-oz, case of 24",Against the Grain,24.0,26.4,16,4.4,88,"Against the Grain is committed to using sustainable, wholesome ingredients that are dolphin and turtle-safe, and free of GMOs, hormones and antibiotics.,Fortified with vitamins, minerals and nutrients for complete and balanced nutrition whether served as a full meal or a savory topper over dry kibble.,Grain-free and gluten-free recipe is easy to digest and ideal for the cat with allergies or food sensitivities.,Sustainably caught, hand-packed wild bonito tuna is the very first ingredient in this savory food that also includes delectable duck.,Mango–“the king of fruits“–is loaded with vitamins C and A and carotenoids to support his immune system.",2.5,Wet Food,Adult,Shredded,"Grain-Free, Gluten Free, Pea-Free",Can
156297,"Purina Muse Natural Filets Variety Pack Grain-Free Wet Cat Food, 1.76-oz pouch, case of 12",Purina Muse,15.58,16.32,91,4.8,97,"Gluten-free and grain-free recipe is a great option for sensitive feline friends.,Made with hand-filleted chicken, ocean fish or salmon as the #1 ingredient for the high-quality protein you’re your cat deserves.,Variety pack comes with 12 pouches of each delectable flavor.,Each single-serve, non-BPA pouch provides your cat with the complete and balanced nutrition she needs.,Crafted without ingredients you want your kitty to avoid like corn, wheat and soy.",1.0466,Wet Food,Adult,Flaked,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free","Pouch, Variety Pack"
72267,"Against the Grain Tuna Mango Tango with Duck Dinner Grain-Free Wet Cat Food, 3.5-oz, case of 12",Against the Grain,20.28,21.48,42,4.7,100,"Against the Grain is committed to using sustainable, wholesome ingredients that are dolphin and turtle-safe, and free of GMOs, hormones and antibiotics.,Fortified with vitamins, minerals and nutrients for complete and balanced nutrition whether served as a full meal or a savory topper over dry kibble.,Grain-free and gluten-free recipe is easy to digest and ideal for the cat with allergies or food sensitivities.,Sustainably caught, hand-packed wild bonito tuna is the very first ingredient in this savory food that also includes delectable duck.,Mango–“the king of fruits“–is loaded with vitamins C and A and carotenoids to support his immune system.",,Wet Food,Adult,Shredded,"Grain-Free, Gluten Free, Pea-Free",Tray
145207,"Tiki Cat Dash Mackerel Flakes Grain-Free Cat Food Topper, 2-oz pouch",Tiki Cat,8.49,9.99,10,3.4,70,"100% fresh-caught mackerel flakes that are great to sprinkles on top of any cat food to make everything better.,Easy to serve—simply add a dash of the food topper to your cat’s wet or dry food for a boost of flavor he will love.,80% pure protein, these delicious, all-natural mackerel flakes have a natural aroma and flavor that will entice picky eaters.,Just mackerel, hand-flaked and naturally smoked for a hearty, nutrient-rich high-quality source of protein and amino acids.,Real mackerel is the one and only ingredient, so you can feel good about making this your go-to food topper.",0.125,Food Topping,Adult,,"High-Protein, Grain-Free, Pea-Free",Pouch
63574,"Go! Daily Defence Turkey Pate Recipe Canned Cat Food, 5.5-oz, case of 24",Go!,41.27,0.0,12,4.7,92,"Preventative health recipe starts with protein-rich turkey to support healthy muscles and activity.,Formulated by PhD pet nutritionists to provide a complete and balanced nutrition for cats, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy and lustrous skin and coat.,Cooked in turkey broth so it provides plenty of moisture to keep your pal hydrated and support digestive and urinary health.,Zero beef, wheat, corn, soy, by-product meals, added growth hormones or artificial preservatives and comes in BPA non-intent cans.",,Wet Food,Adult,Pate,"No Corn No Wheat No Soy, Pea-Free",Can
145205,"Tiki Cat Dash Tuna Flakes Grain-Free Cat Food Topper, 1.5-oz pouch",Tiki Cat,8.49,9.99,11,3.8,82,"100% fresh-caught tuna flakes that are great to sprinkle on top of any cat food to make everything better.,Easy to serve—simply add a dash of the food topper to your cat’s wet or dry food for a boost of flavor he will love.,86% pure protein, these delicious, all-natural tuna flakes have a natural aroma and flavor that will entice picky eaters.,Just tuna, hand-flaked and naturally smoked for a hearty, nutrient-rich high-quality source of protein and amino acids.,Real tuna is the one and only ingredient, so you can feel good about making this your go-to food topper.",0.09375,Food Topping,Adult,,"High-Protein, Grain-Free, Pea-Free",Pouch
148924,"Sheba Signature Broths Chicken & Vegetable Creamy Broth Cat Food Topper, 1.4-oz, case of 24",Sheba,23.76,30.96,13,4.0,92,"Premium chicken and vegetable cat food complement is the perfect supplement to your feline companion’s recommended balanced diet.,Serve up to one broth pouch per day—for an average size adult cat—at room temperature as a bonus to wet or dry food.,Each easy-to-open pouch doesn’t contain any corn, soy or fillers and can even be served as a treat.,These broth-based cat food supplements help make food softer and easier to chew.,Case of 24 chicken and vegetable creamy broth meal complement is great even for the pickiest eaters.",2.1,Wet Food,Adult,Bits in Broth,,Pouch
115084,"Hound & Gatos 98% Lamb & Liver Formula Grain-Free Canned Cat Food, 5.5-oz, case of 24",Hound & Gatos,51.99,0.0,66,4.1,88,"Made with 98% high-quality lamb & lamb liver,Completely free of plant protein, this is an ancestrally appropriate carnivore diet.,Single protein source fortified with vitamins and minerals.,Wholesome meat free of added carbohydrates.",,Wet Food,Adult,Pate,"No Corn No Wheat No Soy, Grain-Free, Gluten Free, Pea-Free",Can
124867,"Sheba Signature Broths Chicken & Vegetable in Clear Broth Cat Food Topper, 1.4-oz pouch, case of 24",Sheba,23.76,30.96,17,4.5,94,"Clear broth-based formula is made with chunks of real chicken and carrots.,Perfect as a complement to a complete, balanced and healthy diet for adult cats.,Tasty way to add much-needed hydration to a cat’s diet to support overall health.,Simply add broth and morsels to your cat’s dry or wet food, or serve as a side dish or treat.,Comes in an easy to open pouch and different flavors to match your pal’s tastes.",2.1,Food Topping,Adult,Bits in Broth,,Pouch
63572,"Go! Sensitivity + Shine Grain-Free Duck Pate Recipe Canned Cat Food, 5.5-oz, case of 24",Go!,54.96,0.0,39,4.4,95,"Alternative animal protein formula addresses food sensitivities with protein-rich duck as the first ingredient.,Formulated by PhD pet nutritionists to provide a complete and balanced diet for cats, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy and lustrous skin and coat.,Cooked in duck broth so it provides plenty of moisture to keep your pal hydrated and support digestive and urinary health.,Zero grains, beef, wheat, corn, soy, by-product meals, added growth hormones or artificial preservatives and comes in BPA non-intent cans.",,Wet Food,Adult,Pate,"Sensitive Digestion, Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free",Can
186295,"Tiki Cat Broths Chicken in Broth with Meaty Bits Grain-Free Wet Cat Food Topper, 1.3-oz pouch, case of 12",Tiki Cat,10.68,11.88,5,4.2,80,"A great way to add healthy hydration to your cat’s diet.,Comes in convenient, single-serve pouches.,100% free of sugar, starch, salt, grains, by-products, fillers, artificial flavors and colors.,Crafted with high-quality proteins.,Low in calories—can be served as a topper or alone as a tasty snack.",1.125,Food Topping,Adult,,Grain-Free,
95722,"Wellness Healthy Indulgence Morsels with Chicken & Turkey in Savory Sauce Grain-Free Wet Cat Food Pouches, 3-oz, case of 24",Wellness,15.84,31.68,34,4.1,85,"100% grain-free recipe is made with real chicken and turkey as the top ingredients for a high-quality animal protein source.,Promotes the 5 signs of kitty wellness—plenty of energy, a lustrous skin and coat, sound digestion and immunity, plus strong teeth and healthy eyes.,Savory sauce makes mealtime irresistible, and is great as a complete meal in every pouch or kibble topper for picky eaters.,Helps promote urinary health with essential moisture from broth to keep your kitty hydrated and antioxidant-rich cranberries.,Zero gluten, wheat, corn, soy or artificial colors, flavors or preservatives so it’s great for kitties with sensitivities.",,Wet Food,Adult,Chunks in Gravy,"No Corn No Wheat No Soy, Grain-Free, Pea-Free",Pouch
148171,"Fancy Feast Purely Filets Natural Variety Pack Cat Food Topper, 6 count",Fancy Feast,11.99,0.0,21,4.6,95,"Made with 100% natural oceanfish, tuna or salmon for a different, flavor-packed meal each night.,Prepared without by-products, so you can feed your fur baby a savory meal with real meat you can trust.,Contains no artificial colors, flavors or preservatives for a tasty meal complement as real as your love.,Features real, carefully selected ingredients you can be proud to put in your kitty's bowl.,Serve whole, flaked or as a topper on dry food for a variety-packed menu that'll keep your kitty curious about dinner.",5.333,Food Topping,Adult,,"Grain-Free, Pea-Free","Pouch, Variety Pack"
93793,"Friskies Cat Concoctions Variety Pack Canned Cat Food, 5.5-oz, case of 24",Friskies,11.97,0.0,512,3.9,81,"Variety pack features unique recipes with real meats for the high-protein nutrition and flavor your little carnivore craves.,Enhanced with vitamins and minerals for overall well-being, and essential taurine for heart and vision health.,Provides a 100% complete and balanced meal for cats and kittens, on its own or as a delicious kibble topper.,Yummy sauces helps support urinary health and keeps your pal hydrated with tasty moisture in every bite.,Crafted with love in USA facilities and comes in easy-to-serve cans that make mealtime simple and hassle-free.",,Wet Food,Adult,Pate,,"Can, Variety Pack"
140464,"Purina ONE True Instinct 4 Flavors Variety Pack Canned Cat Food, 3-oz, case of 24",Purina ONE,21.99,0.0,41,3.8,80,"Made with real meat as the top ingredient to satisfy your kitty’s true instinct for high-protein nutrition.,Fortified with vitamins and minerals for complete and balanced nutrition whether served as a meal or a delicious topper over dry kibble.,Savory sauce provides exceptional flavor and essential moisture to keep him healthy and hydrated.,Made in a Purina-owned U.S. facility with 0% fillers for quality and safety you can trust.,Includes six cans each of Salmon & Trout Recipe, Chicken & Salmon Recipe, Tuna Recipe, and Chicken Recipe.",6.0,Wet Food,Adult,Chunks in Gravy,,"Can, Variety Pack"
112295,"Tiki Cat After Dark Variety Pack Canned Cat Food, 2.8-oz, case of 12",Tiki Cat,19.33,21.48,210,3.8,79,"Variety pack of gourmet, grain-free wet food helps keep finicky cat interested and eating.,High-protein, low-carb recipes help boost energy, support the immune system and support overall health.,Biologically-appropriate nutrient profile mimics the natural prey of cats.,Added chelated minerals and vitamins support a complete and balanced diet.,High-moisture recipes help supplement cats that don't drink enough water and helps maintain good urinary and digestive health.",0.175,Wet Food,Adult,Sliced,"Grain-Free, High-Protein, Pea-Free","Can, Variety Pack"
48455,Nutro Max Indoor Adult Roasted Chicken Flavor Dry Cat Food,Nutro Max,24.29,26.99,173,4.7,94,"Indoor kibble is made with chicken as the first ingredient for the high-quality animal protein cats need.,Unique kibble shape and delicious flavor is great for picky eaters, and provides a 100% complete and balanced diet for adult cats.,The crunchy bites are packed with antioxidants for healthy immunity, taurine for heart and vision health, and vitamins and minerals.,Provides a balanced blend of omega-3 and 6 fatty acids to promote a healthy skin and shiny coat.,Cooked in USA Nutro facilities with the finest ingredients from around the world, carefully sourced from a trusted network of farmers and suppliers.",16.0,Dry Food,Adult,,"Indoor, Pea-Free",
48384,"Nutro Max Adult Chicken Supreme Entree Chunks in Sauce Canned Cat Food, 3-oz, case of 24",Nutro Max,19.2,21.36,209,4.5,95,"Adult wet food recipe features real chicken in sauce for the protein needed to support healthy, lean muscles.,Provides a 100% complete and balanced meal for adult cats, on its own or as a tasty kibble topper.,Fortified with vitamins, minerals, essential taurine, and moisture in every bite to support hydration and overall health.,Good source of omega-3 and 6 fatty acids to support a healthy skin and lustrous coat.,Made with only natural ingredients that can be traced back to trusted suppliers, and no artificial flavors, colors or preservatives.",,Wet Food,Adult,Chunks in Gravy,,Can
112041,"Purina Beyond Grain-Free Chicken, Beef & Carrot Recipe in Gravy Canned Cat Food, 3-oz, case of 12",Purina Beyond,13.99,0.0,120,4.1,83,"Protein-packed, grain-free wet food is made with real beef and chicken to support lean muscles.,Loaded with yummy eggs and antioxidant-rich veggies like carrots, plus moisture for essential hydration.,Provides a complete and balanced diet for adult cats, with vitamins, minerals, omegas and taurine for overall health.,Tempting gravy is great for picky eaters, and combines all the nutrition your cat needs with the deliciousness he wants.,Made in the USA with zero grains, wheat, corn, soy, chicken by-product meals or artificial colors, flavor or preservatives.",,Wet Food,Adult,Chunks in Gravy,"Grain-Free, No Corn No Wheat No Soy, Pea-Free",Can
112047,"Purina Beyond Grain-Free Turkey, Sweet Potato & Spinach Recipe in Gravy Canned Cat Food, 3-oz, case of 12",Purina Beyond,11.28,0.0,138,4.2,85,"Protein-packed, grain-free wet food is made with real poultry as the first ingredients to support lean muscles.,Loaded with antioxidant-rich veggies like sweet potatoes and spinach, and moisture for essential hydration.,Provides a complete and balanced diet for adult cats, with vitamins, minerals, omegas and taurine for overall health.,Tempting taste is great for picky eaters, and combines all the nutrition your cat needs with the deliciousness he wants.,Zero grains, gluten, wheat, corn, soy, chicken by-product meals or artificial colors, flavor or preservatives.",,Wet Food,Adult,Chunks in Gravy,"Grain-Free, No Corn No Wheat No Soy, Pea-Free",Can
84167,Blue Buffalo Indoor Hairball & Weight Control Chicken & Brown Rice Recipe Adult Dry Cat Food,Blue Buffalo,21.98,0.0,346,4.5,94,"Starts with real deboned chicken first for the high-quality protein your kitty deserves.,Features wholesome grains, garden veggies and fruit.,Specially crafted to help reduce hairballs with high quality protein and natural sources of fiber and help your BFF maintain a healthy weight with an optimal blend of calories and protein.,Made with LifeSource Bits—a blend of antioxidants, minerals and vitamins chosen by vets and animal nutritionists to support your pet’s immune health, life stage requirements and a healthy oxidative balance.,All-natural cat kibble made without poultry by-product meals, corn, wheat, soy, artificial flavors or preservatives.",7.0,Dry Food,Adult,,"Indoor, No Corn No Wheat No Soy, Weight Control",
151548,"Purina Pro Plan Chicken & Turkey Favorites Variety Pack Canned Cat Food, 3-oz, case of 24",Purina Pro Plan,23.52,0.0,154,4.5,92,"Each recipe in the variety pack is crafted with either real turkey or chicken for the high-quality protein your cat needs to fuel her daily activities.,Contains the essential nutrients your kitty needs to support her immune system.,Formulated with 25 essential vitamins and minerals and the amino acid, taurine, which helps support your pal’s overall health and well-being.,Nourishes your pal’s skin and encourages a healthy, shiny coat from the inside out so she can look and feel her best.,This variety pack comes with 8 cans of 3 delectable recipes—Chicken & Rice Entrée, Turkey & Rice Entrée, and White Meat Chicken & Vegetables Entrée.",5.53,Wet Food,Adult,Chunks in Gravy,,"Can, Variety Pack"
158488,"Fancy Feast Tender Feast Variety Pack Canned Kitten Food, 3-oz, case of 24",Fancy Feast,15.49,16.79,177,4.7,97,"Real poultry or fish is the #1 ingredient for a protein-rich recipe your fur baby craves.,100% complete and balanced nutrition for kittens, so you can help her grow into a strong and healthy cat.,Made with real milk, which means she gets the calcium she needs.,Formulated to meet the needs of growing kittens with a smooth pate texture that makes it easier to feed.,Delicious recipes come in convenient pull-tab cans making it easier for you to serve her.",4.5,Wet Food,Kitten,Pate,,"Can, Variety Pack"
75992,"Fancy Feast Delights with Cheddar Grilled Variety Pack Canned Cat Food, 3-oz, case of 24",Fancy Feast,14.62,15.49,425,4.6,95,"Variety pack of gourmet cat food keeps finicky eaters interested and eating with palatable flavors.,Each entrée is slow-cooked to perfection and infused with aged cheddar cheese.,Serve alone or mix with dry food for a delectable texture. Great way to add moisture to your cat’s diet.,Made in the USA to offer 100% complete and balanced nutrition for the growth and maintenance of cats.,Convenient flip-top can makes serving quick and clean-ups even quicker.",11.06,Wet Food,Adult,Chunks in Gravy,,"Can, Variety Pack"
