brand,info_dict,key_benefit,new_price,num_reviews,old_price,product,rating,recommand
Tiki Cat,"{'Item Number': '49110', 'Packaging Type': 'Can', 'Food Texture': 'Shredded', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, High-Protein, Gluten Free, Low Glycemic, Grain-Free, Pea-Free'}","Wild-caught sardine cutlets as the first ingredient for animal-sourced protein to meet the nutritional needs of carnivores.,High protein to support healthy muscles plus sunflower oil rich in omegas that nourish the skin and coat.,Provides a balanced and complete diet for cats of all ages with essential amino acids, vitamins, minerals and taurine.,Made with real lobster stock so it provides essential moisture to keep your pal hydrated and support overall health.,Luxurious consomme-based formula is great for picky eaters, and contains no grains, gluten, carbohydrates, starches or flours.",11.88,89,14.28,Tiki Cat Bora Bora Grill Sardine Cutlets in Lobster Consomme Grain-Free Canned Cat Food,4.3,92
Purina Pro Plan,"{'Item Number': '147950', 'Weight': '5.3\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Senior, Adult', 'Special Diet': 'Grain-Free, Pea-Free'}","Features a proprietary nutrient blend scientifically tested to maintain and improve the health of cats who are 7+.,Made with real fish as the first ingredient, packing your cat's meal with pure, high-quality protein to promote lean muscle mass and a healthy weight.,A healthful, grain-free recipe you can be proud to serve your feline best friend.,Helps support a strong, healthy immune system in your senior cat.,Contains key nutrients to support improved microflora for a balanced digestive system.",23.28,24,26.16,"Purina Pro Plan Prime Plus 7+ Classic Cod & Shrimp Grain-Free Entree Canned Cat Food, 3-oz, case of 24",4.7,100
Triumph,"{'Item Number': '79573', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult'}","Natural canned cat food recipe made with real trout, with no meat by-products, artificial colors or flavors added,Formula contains added vitamins and minerals to make this a complete and balanced meal for adult cats with all the nutrition they need for a happy lifestyle,Contains an optimal balance of protein, fat and carbohydrates,Recipe contains premium, wholesome ingredients that are sure to make your kitty purr with delight at mealtime,Made in the USA!",16.99,45,0,Triumph Trout Formula Canned Cat Food,4.0,82
Royal Canin,"{'Item Number': '180806', 'Weight': '3\xa0ounces', 'Packaging Type': 'Can', 'Food Texture': 'Sliced', 'Food Form': 'Wet Food', 'Lifestage': 'Senior'}","Tasty thin slices in a savory gravy tail-ored for senior felines 12 years of age and older.,Contains omega-3 fatty acids to support healthy joints.,Offers a purr-ferred ratio of proteins, fats and carbohydrates.,Made with controlled phosphorus levels to support kidney health.,Pairs paw-fectly with Royal Canin Feline Health Nutrition Dry Formulas.",8.54,7,0,"Royal Canin Aging 12+ Thin Slices in Gravy Canned Cat Food, 3-oz, case of 6",4.9,100
Tiki Cat,"{'Item Number': '112290', 'Packaging Type': 'Can', 'Food Texture': 'Sliced', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, High-Protein, Pea-Free'}","Chicken, chicken liver, chicken gizzard and chicken heart are the top ingredients for animal-sourced protein to meet the needs of carnivores.,High protein to support healthy muscles to keep your pal active, whether he loves the indoors or outdoors.,Provides a balanced and complete diet for cats of all ages with essential amino acids, antioxidants, vitamins, minerals and taurine.,Made with real chicken broth so it provides essential moisture to keep your pal hydrated and support overall health.,Succulent and meaty low-carb formula is great for picky eaters, and contains no grains, starches or flours.",19.37,43,21.52,Tiki Cat After Dark Chicken Canned Cat Food,4.0,81
Purina Pro Plan Veterinary Diets,"{'Item Number': '64889', 'Weight': '8.25\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Minced', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Weight Control, Pea-Free, Veterinary Diet'}","Formulated by Purina nutritionists, researchers and veterinarians for your overweight or obese kitty to help her lose or maintain weight.,High-protein, low-calorie and low-fat recipe helps your furbaby lose weight while maintaining lean muscle,Helps support a healthy urinary system to prevent potty problems.,Natural fiber helps keep your fur-iend feeling full.,Available in dry and canned varieties so you can choose the type she will be happy to eat.",47.79,38,0,"Purina Pro Plan Veterinary Diets OM Overweight Management Formula Canned Cat Food, 5.5-oz, case of 24",4.5,89
Sojos,"{'Item Number': '98122', 'Brand': 'WellPet', 'Food Form': 'Treats, Freeze-Dried', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Gluten Free, Grain-Free, Raw'}","This single-ingredient treat features 100% raw venison liver that’s been gently freeze-dried to protect the natural enzymes, vitamins and minerals in this nutritional powerhouse,With no artificial preservatives, flavors, or colors, these treats are perfect for cats who may suffer from allergies or who need a grain-free snack,Treats are made from all natural and human-quality meat fortified with amino acids and omega-3s,High-quality venison protein delivers essential amino acids and rich nutrients to help your kitty thrive,Ideal for training, snaking or even as a good topper",6.99,18,0,"Sojos NaturalCat Venison Liver Freeze-Dried Raw Cat Treats, 1.25-oz bag",3.7,78
Nature's Variety,"{'Item Number': '64135', 'Packaging Type': 'Can', 'Food Texture': 'Flaked', 'Brand': 'Instinct', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy'}","Made with whole-food ingredients you can see like real salmon, carrots, spinach and cranberries.,Provides a 100% complete and balanced diet for adult cats, and is great for kitties with an indoor lifestyle.,Supports overall health and nose-to-tail well-being with added vitamins, minerals and essential taurine.,Delicious flaked texture and irresistible gravy is great for picky eaters, and is a source of moisture for healthy hydration.,Made in the USA with the finest ingredients from around the world, with zero grain, potato, corn, wheat, soy, by-product meals, artificial colors or preservatives.",23.64,28,0,"Nature's Variety Pride by Instinct Grain-Free Flaked Starlet's Salmon Recipe Wet Canned Cat Food, 5.5-oz, case of 12",4.4,86
Nature's Variety,"{'Item Number': '64155', 'Packaging Type': 'Can', 'Food Texture': 'Minced', 'Brand': 'Instinct', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy'}","Made with whole-food ingredients you can see like real tuna, carrots, spinach and cranberries.,Provides a 100% complete and balanced diet for adult cats, and is great for kitties with an indoor lifestyle.,Supports overall health and nose-to-tail well-being with added vitamins, minerals and essential taurine.,Delicious minced texture and irresistible gravy is great for picky eaters, and is a source of moisture for healthy hydration.,Made in the USA with the finest ingredients from around the world, with zero grain, potato, corn, wheat, soy, by-product meals, artificial colors or preservatives.",29.28,34,0,"Nature's Variety Pride by Instinct Grain-Free Minced Titan's Tuna Recipe Wet Canned Cat Food, 3-oz, case of 24",4.6,94
Triumph,"{'Item Number': '126282', 'Weight': '3.29\xa0pounds', 'Packaging Type': 'Tray', 'Food Texture': 'Bits in Broth', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Pea-Free'}","Made with real salmon with tasty juices in every easy-peel tray.,Delicious natural flavor in savory juices that most cats find irresistible.,Perfect as a wholesome meal, deliciously savory meal topper, or a healthy snack.,Enhanced with added vitamins, minerals, and taurine for a healthy, balanced diet.,Contains no corn, wheat, soy, by-products, fillers, artificial colors or flavors.",12.01,7,0,"Triumph Meals of Victory with Salmon in Savory Juices Cat Food Trays, 3.5-oz, case of 15",2.7,43
Catered Bowl,"{'Item Number': '157401', 'Weight': '7.5\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Breed Size': 'Small Breeds, Medium Breeds, Large Breeds', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, No Corn No Wheat No Soy, Organic, Non-GMO'}","First ingredient is USDA-Certified organic chicken sourced from US farmers.,Made with chicken raised without cages and without antibiotics.,100% complete and balanced nutrition with added vitamins, minerals and other trace nutrients.,Always made in the USA with no grain, GMOs, corn, soy or wheat or artificial colors, flavors or preservatives.,For all cats throughout all life stages, from kitten to adult.",22.06,5,39.99,"Catered Bowl Organic Chicken Recipe Canned Cat Food, 5.5-oz, case of 24",2.8,60
Against the Grain,"{'Item Number': '130452', 'Weight': '2.5\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Shredded', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, Pea-Free'}","Against the Grain is committed to using sustainable, wholesome ingredients that are dolphin and turtle-safe, and free of GMOs, hormones and antibiotics.,Fortified with vitamins, minerals and nutrients for complete and balanced nutrition whether served as a full meal or a savory topper over dry kibble.,Grain-free and gluten-free recipe is easy to digest and ideal for the cat with allergies or food sensitivities.,Sustainably caught, hand-packed wild bonito tuna is the very first ingredient in this savory food that also includes delectable duck.,Mango–“the king of fruits“–is loaded with vitamins C and A and carotenoids to support his immune system.",24.0,16,26.4,"Against the Grain Tuna Mango Tango with Duck Dinner Grain-Free Wet Cat Food, 2.8-oz, case of 24",4.4,88
Purina Muse,"{'Item Number': '156297', 'Weight': '1.0466\xa0pounds', 'Packaging Type': 'Pouch, Variety Pack', 'Food Texture': 'Flaked', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free'}","Gluten-free and grain-free recipe is a great option for sensitive feline friends.,Made with hand-filleted chicken, ocean fish or salmon as the #1 ingredient for the high-quality protein you’re your cat deserves.,Variety pack comes with 12 pouches of each delectable flavor.,Each single-serve, non-BPA pouch provides your cat with the complete and balanced nutrition she needs.,Crafted without ingredients you want your kitty to avoid like corn, wheat and soy.",15.58,91,16.32,"Purina Muse Natural Filets Variety Pack Grain-Free Wet Cat Food, 1.76-oz pouch, case of 12",4.8,97
Against the Grain,"{'Item Number': '72267', 'Packaging Type': 'Tray', 'Food Texture': 'Shredded', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, Pea-Free'}","Against the Grain is committed to using sustainable, wholesome ingredients that are dolphin and turtle-safe, and free of GMOs, hormones and antibiotics.,Fortified with vitamins, minerals and nutrients for complete and balanced nutrition whether served as a full meal or a savory topper over dry kibble.,Grain-free and gluten-free recipe is easy to digest and ideal for the cat with allergies or food sensitivities.,Sustainably caught, hand-packed wild bonito tuna is the very first ingredient in this savory food that also includes delectable duck.,Mango–“the king of fruits“–is loaded with vitamins C and A and carotenoids to support his immune system.",20.28,42,21.48,"Against the Grain Tuna Mango Tango with Duck Dinner Grain-Free Wet Cat Food, 3.5-oz, case of 12",4.7,100
Tiki Cat,"{'Item Number': '145207', 'Weight': '2\xa0ounces', 'Packaging Type': 'Pouch', 'Food Form': 'Food Topping', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Grain-Free, Pea-Free'}","100% fresh-caught mackerel flakes that are great to sprinkles on top of any cat food to make everything better.,Easy to serve—simply add a dash of the food topper to your cat’s wet or dry food for a boost of flavor he will love.,80% pure protein, these delicious, all-natural mackerel flakes have a natural aroma and flavor that will entice picky eaters.,Just mackerel, hand-flaked and naturally smoked for a hearty, nutrient-rich high-quality source of protein and amino acids.,Real mackerel is the one and only ingredient, so you can feel good about making this your go-to food topper.",8.49,10,9.99,"Tiki Cat Dash Mackerel Flakes Grain-Free Cat Food Topper, 2-oz pouch",3.4,70
Go!,"{'Item Number': '63574', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'Petcurean', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Pea-Free'}","Preventative health recipe starts with protein-rich turkey to support healthy muscles and activity.,Formulated by PhD pet nutritionists to provide a complete and balanced nutrition for cats, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy and lustrous skin and coat.,Cooked in turkey broth so it provides plenty of moisture to keep your pal hydrated and support digestive and urinary health.,Zero beef, wheat, corn, soy, by-product meals, added growth hormones or artificial preservatives and comes in BPA non-intent cans.",41.27,12,0,"Go! Daily Defence Turkey Pate Recipe Canned Cat Food, 5.5-oz, case of 24",4.7,92
Tiki Cat,"{'Item Number': '145205', 'Weight': '1.5\xa0ounces', 'Packaging Type': 'Pouch', 'Food Form': 'Food Topping', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Grain-Free, Pea-Free'}","100% fresh-caught tuna flakes that are great to sprinkle on top of any cat food to make everything better.,Easy to serve—simply add a dash of the food topper to your cat’s wet or dry food for a boost of flavor he will love.,86% pure protein, these delicious, all-natural tuna flakes have a natural aroma and flavor that will entice picky eaters.,Just tuna, hand-flaked and naturally smoked for a hearty, nutrient-rich high-quality source of protein and amino acids.,Real tuna is the one and only ingredient, so you can feel good about making this your go-to food topper.",8.49,11,9.99,"Tiki Cat Dash Tuna Flakes Grain-Free Cat Food Topper, 1.5-oz pouch",3.8,82
Sheba,"{'Item Number': '148924', 'Weight': '2.1\xa0pounds', 'Packaging Type': 'Pouch', 'Food Texture': 'Bits in Broth', 'Food Form': 'Wet Food, Food Topping', 'Lifestage': 'Adult'}","Premium chicken and vegetable cat food complement is the perfect supplement to your feline companion’s recommended balanced diet.,Serve up to one broth pouch per day—for an average size adult cat—at room temperature as a bonus to wet or dry food.,Each easy-to-open pouch doesn’t contain any corn, soy or fillers and can even be served as a treat.,These broth-based cat food supplements help make food softer and easier to chew.,Case of 24 chicken and vegetable creamy broth meal complement is great even for the pickiest eaters.",23.76,13,30.96,"Sheba Signature Broths Chicken & Vegetable Creamy Broth Cat Food Topper, 1.4-oz, case of 24",4.0,92
Hound & Gatos,"{'Item Number': '115084', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Grain-Free, Gluten Free, Pea-Free'}","Made with 98% high-quality lamb & lamb liver,Completely free of plant protein, this is an ancestrally appropriate carnivore diet.,Single protein source fortified with vitamins and minerals.,Wholesome meat free of added carbohydrates.",51.99,66,0,"Hound & Gatos 98% Lamb & Liver Formula Grain-Free Canned Cat Food, 5.5-oz, case of 24",4.1,88
Sheba,"{'Item Number': '124867', 'Weight': '2.1\xa0pounds', 'Packaging Type': 'Pouch', 'Food Texture': 'Bits in Broth', 'Food Form': 'Food Topping, Treats', 'Lifestage': 'Adult'}","Clear broth-based formula is made with chunks of real chicken and carrots.,Perfect as a complement to a complete, balanced and healthy diet for adult cats.,Tasty way to add much-needed hydration to a cat’s diet to support overall health.,Simply add broth and morsels to your cat’s dry or wet food, or serve as a side dish or treat.,Comes in an easy to open pouch and different flavors to match your pal’s tastes.",23.76,17,30.96,"Sheba Signature Broths Chicken & Vegetable in Clear Broth Cat Food Topper, 1.4-oz pouch, case of 24",4.5,94
Go!,"{'Item Number': '63572', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'Petcurean', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Sensitive Digestion, Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free'}","Alternative animal protein formula addresses food sensitivities with protein-rich duck as the first ingredient.,Formulated by PhD pet nutritionists to provide a complete and balanced diet for cats, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy and lustrous skin and coat.,Cooked in duck broth so it provides plenty of moisture to keep your pal hydrated and support digestive and urinary health.,Zero grains, beef, wheat, corn, soy, by-product meals, added growth hormones or artificial preservatives and comes in BPA non-intent cans.",54.96,39,0,"Go! Sensitivity + Shine Grain-Free Duck Pate Recipe Canned Cat Food, 5.5-oz, case of 24",4.4,95
Tiki Cat,"{'Item Number': '186295', 'Weight': '1.125\xa0pounds', 'Breed Size': 'Small Breeds, Medium Breeds, Large Breeds', 'Food Form': 'Food Topping, Treats', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free'}","A great way to add healthy hydration to your cat’s diet.,Comes in convenient, single-serve pouches.,100% free of sugar, starch, salt, grains, by-products, fillers, artificial flavors and colors.,Crafted with high-quality proteins.,Low in calories—can be served as a topper or alone as a tasty snack.",10.68,5,11.88,"Tiki Cat Broths Chicken in Broth with Meaty Bits Grain-Free Wet Cat Food Topper, 1.3-oz pouch, case of 12",4.2,80
Wellness,"{'Item Number': '95722', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Brand': 'WellPet', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Grain-Free, Pea-Free'}","100% grain-free recipe is made with real chicken and turkey as the top ingredients for a high-quality animal protein source.,Promotes the 5 signs of kitty wellness—plenty of energy, a lustrous skin and coat, sound digestion and immunity, plus strong teeth and healthy eyes.,Savory sauce makes mealtime irresistible, and is great as a complete meal in every pouch or kibble topper for picky eaters.,Helps promote urinary health with essential moisture from broth to keep your kitty hydrated and antioxidant-rich cranberries.,Zero gluten, wheat, corn, soy or artificial colors, flavors or preservatives so it’s great for kitties with sensitivities.",15.84,34,31.68,"Wellness Healthy Indulgence Morsels with Chicken & Turkey in Savory Sauce Grain-Free Wet Cat Food Pouches, 3-oz, case of 24",4.1,85
Fancy Feast,"{'Item Number': '148171', 'Weight': '5.333\xa0pounds', 'Packaging Type': 'Pouch, Variety Pack', 'Brand': 'Purina', 'Food Form': 'Food Topping, Treats', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Pea-Free'}","Made with 100% natural oceanfish, tuna or salmon for a different, flavor-packed meal each night.,Prepared without by-products, so you can feed your fur baby a savory meal with real meat you can trust.,Contains no artificial colors, flavors or preservatives for a tasty meal complement as real as your love.,Features real, carefully selected ingredients you can be proud to put in your kitty's bowl.,Serve whole, flaked or as a topper on dry food for a variety-packed menu that'll keep your kitty curious about dinner.",11.99,21,0,"Fancy Feast Purely Filets Natural Variety Pack Cat Food Topper, 6 count",4.6,95
Friskies,"{'Item Number': '93793', 'Packaging Type': 'Can, Variety Pack', 'Food Texture': 'Pate, Chunks in Gravy', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult'}","Variety pack features unique recipes with real meats for the high-protein nutrition and flavor your little carnivore craves.,Enhanced with vitamins and minerals for overall well-being, and essential taurine for heart and vision health.,Provides a 100% complete and balanced meal for cats and kittens, on its own or as a delicious kibble topper.,Yummy sauces helps support urinary health and keeps your pal hydrated with tasty moisture in every bite.,Crafted with love in USA facilities and comes in easy-to-serve cans that make mealtime simple and hassle-free.",11.97,512,0,"Friskies Cat Concoctions Variety Pack Canned Cat Food, 5.5-oz, case of 24",3.9,81
Purina ONE,"{'Item Number': '140464', 'Weight': '6.0\xa0pounds', 'Packaging Type': 'Can, Variety Pack', 'Food Texture': 'Chunks in Gravy', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult'}","Made with real meat as the top ingredient to satisfy your kitty’s true instinct for high-protein nutrition.,Fortified with vitamins and minerals for complete and balanced nutrition whether served as a meal or a delicious topper over dry kibble.,Savory sauce provides exceptional flavor and essential moisture to keep him healthy and hydrated.,Made in a Purina-owned U.S. facility with 0% fillers for quality and safety you can trust.,Includes six cans each of Salmon & Trout Recipe, Chicken & Salmon Recipe, Tuna Recipe, and Chicken Recipe.",21.99,41,0,"Purina ONE True Instinct 4 Flavors Variety Pack Canned Cat Food, 3-oz, case of 24",3.8,80
Tiki Cat,"{'Item Number': '112295', 'Weight': '2.8\xa0ounces', 'Packaging Type': 'Can, Variety Pack', 'Food Texture': 'Sliced', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, High-Protein, Pea-Free'}","Variety pack of gourmet, grain-free wet food helps keep finicky cat interested and eating.,High-protein, low-carb recipes help boost energy, support the immune system and support overall health.,Biologically-appropriate nutrient profile mimics the natural prey of cats.,Added chelated minerals and vitamins support a complete and balanced diet.,High-moisture recipes help supplement cats that don't drink enough water and helps maintain good urinary and digestive health.",19.33,210,21.48,"Tiki Cat After Dark Variety Pack Canned Cat Food, 2.8-oz, case of 12",3.8,79
